ID,falsto_name,globalid,year
454,Irsee_1,13C462EE-B2FF-4915-AE56-0C588E205EDC,2020
455,Irsee_1,13C462EE-B2FF-4915-AE56-0C588E205EDC,2021
456,Irsee_2,4DB5C657-B76F-4D5D-9F8E-A12BB3222A73,2015
457,Irsee_2,4DB5C657-B76F-4D5D-9F8E-A12BB3222A73,2016
458,Irsee_2,4DB5C657-B76F-4D5D-9F8E-A12BB3222A73,2017
459,Irsee_2,4DB5C657-B76F-4D5D-9F8E-A12BB3222A73,2018
460,Irsee_2,4DB5C657-B76F-4D5D-9F8E-A12BB3222A73,2019
461,Irsee_2,69E177F3-DA68-40AF-A600-07819F87579F,2020
462,Irsee_2,69E177F3-DA68-40AF-A600-07819F87579F,2021
463,Kastl_1,27315615-80D8-4A46-8237-61BD30F2D7B5,2015
464,Kastl_1,27315615-80D8-4A46-8237-61BD30F2D7B5,2016
465,Kastl_1,61148735-18F1-4CD7-9A23-756107EBA3F4,2017
466,Kastl_1,61148735-18F1-4CD7-9A23-756107EBA3F4,2018
467,Kastl_1,61148735-18F1-4CD7-9A23-756107EBA3F4,2019
468,Kastl_1,61148735-18F1-4CD7-9A23-756107EBA3F4,2020
469,Kastl_1,61148735-18F1-4CD7-9A23-756107EBA3F4,2021
470,Kastl_2,93286F11-7A34-438F-AA6A-6241583E8E6A,2015
471,Kastl_2,93286F11-7A34-438F-AA6A-6241583E8E6A,2016
472,Kastl_2,E6587059-D057-4B3D-A115-BF4E75511C2B,2017
473,Kastl_2,E6587059-D057-4B3D-A115-BF4E75511C2B,2018
474,Kastl_2,D07C1DDF-1AF4-4BCE-AD2B-75A02BA27FD7,2019
475,Kastl_2,D07C1DDF-1AF4-4BCE-AD2B-75A02BA27FD7,2020
476,Kastl_2,D07C1DDF-1AF4-4BCE-AD2B-75A02BA27FD7,2021
477,Kreuther_Forst_1,C7D6C766-95AD-4295-9E6B-38D2000D6F7A,2015
478,Kreuther_Forst_1,C7D6C766-95AD-4295-9E6B-38D2000D6F7A,2016
479,Kreuther_Forst_1,C7D6C766-95AD-4295-9E6B-38D2000D6F7A,2017
480,Kreuther_Forst_1,C7D6C766-95AD-4295-9E6B-38D2000D6F7A,2018
481,Kreuther_Forst_1,C7D6C766-95AD-4295-9E6B-38D2000D6F7A,2019
482,Kreuther_Forst_1,C7D6C766-95AD-4295-9E6B-38D2000D6F7A,2020
